iter	Passed	Remaining
0	16	16105
1	28	14171
2	41	13649
3	53	13378
4	56	11157
5	68	11305
6	70	10062
7	84	10416
8	96	10589
9	108	10777
10	123	11068
11	134	11100
12	149	11329
13	162	11416
14	174	11440
15	176	10852
16	188	10879
17	199	10901
18	201	10421
19	214	10519
20	221	10343
21	234	10421
22	247	10493
23	261	10620
24	274	10719
25	288	10825
26	303	10930
27	315	10953
28	329	11035
29	341	11050
30	353	11058
31	366	11075
32	377	11075
33	391	11120
34	405	11173
35	408	10943
36	420	10948
37	432	10941
38	444	10942
39	456	10952
40	468	10955
41	481	10985
42	493	10985
43	505	10981
44	518	11013
45	533	11066
46	545	11061
47	557	11060
48	569	11058
49	581	11057
50	594	11070
51	606	11058
52	619	11071
53	632	11078
54	643	11064
55	656	11060
56	671	11106
57	686	11146
58	700	11164
59	712	11156
60	726	11177
61	730	11050
62	742	11046
63	754	11039
64	766	11027
65	778	11016
66	791	11015
67	803	11012
68	818	11038
69	831	11050
70	843	11037
71	857	11056
72	870	11048
73	884	11064
74	897	11066
75	910	11064
76	922	11054
77	933	11036
78	946	11032
79	958	11025
80	961	10908
81	972	10888
82	984	10875
83	997	10877
84	1008	10855
85	1019	10839
86	1032	10837
87	1044	10828
88	1056	10813
89	1067	10798
90	1081	10807
91	1093	10794
92	1105	10779
93	1106	10669
94	1120	10670
95	1133	10672
96	1146	10674
97	1159	10670
98	1171	10666
99	1183	10655
100	1186	10559
101	1199	10561
102	1212	10555
103	1224	10546
104	1237	10551
105	1250	10544
106	1262	10535
107	1276	10539
108	1288	10532
109	1300	10519
110	1311	10503
111	1325	10505
112	1339	10512
113	1352	10510
114	1365	10505
115	1377	10495
116	1379	10412
117	1391	10400
118	1403	10389
119	1416	10384
120	1427	10372
121	1440	10366
122	1452	10356
123	1464	10346
124	1476	10334
125	1488	10327
126	1501	10324
127	1513	10311
128	1524	10296
129	1538	10292
130	1550	10283
131	1562	10272
132	1574	10260
133	1586	10250
134	1597	10235
135	1609	10222
136	1621	10214
137	1633	10200
138	1644	10185
139	1656	10177
140	1672	10186
141	1673	10114
142	1677	10055
143	1691	10057
144	1704	10048
145	1716	10040
146	1728	10029
147	1740	10017
148	1752	10008
149	1764	9996
150	1775	9983
151	1788	9978
152	1801	9971
153	1812	9959
154	1826	9954
155	1838	9946
156	1850	9936
157	1863	9929
158	1876	9923
159	1889	9917
160	1901	9907
161	1913	9895
162	1926	9893
163	1940	9891
164	1953	9886
165	1954	9820
166	1968	9819
167	1984	9827
168	2001	9839
169	2015	9842
170	2029	9840
171	2045	9847
172	2059	9845
173	2074	9847
174	2076	9787
175	2089	9784
176	2103	9782
177	2105	9725
178	2118	9718
